inst#,actual,predicted,error,distribution,,
366,2:neutral,2:neutral,,0.014,*0.949,0.036
367,2:neutral,2:neutral,,0.009,*0.959,0.033
368,2:neutral,1:positive,+,*0.931,0.069,0
369,2:neutral,2:neutral,,0.366,*0.632,0.002
370,2:neutral,2:neutral,,0.02,*0.976,0.004
371,2:neutral,2:neutral,,0.008,*0.982,0.01
372,2:neutral,1:positive,+,*0.891,0.109,0
373,2:neutral,1:positive,+,*0.958,0.038,0.003
374,2:neutral,2:neutral,,0.003,*0.505,0.492
375,2:neutral,2:neutral,,0.115,*0.871,0.015
376,2:neutral,2:neutral,,0.396,*0.591,0.013
377,2:neutral,1:positive,+,*0.89,0.008,0.102
378,2:neutral,2:neutral,,0.017,*0.969,0.013
379,2:neutral,2:neutral,,0.118,*0.859,0.022
380,2:neutral,2:neutral,,0.009,*0.506,0.485
381,2:neutral,1:positive,+,*0.753,0.243,0.004
382,2:neutral,2:neutral,,0.007,*0.677,0.316
383,2:neutral,2:neutral,,0.123,*0.859,0.019
384,2:neutral,2:neutral,,0.234,*0.708,0.058
385,2:neutral,2:neutral,,0.01,*0.81,0.18
386,2:neutral,2:neutral,,0.199,*0.778,0.023
387,2:neutral,2:neutral,,0.022,*0.931,0.047
388,2:neutral,2:neutral,,0.069,*0.927,0.004
389,2:neutral,2:neutral,,0.021,*0.756,0.223
390,2:neutral,2:neutral,,0.005,*0.911,0.085
391,2:neutral,2:neutral,,0.184,*0.798,0.018
392,2:neutral,2:neutral,,0.081,*0.906,0.012
393,2:neutral,2:neutral,,0.172,*0.645,0.182
394,2:neutral,2:neutral,,0.088,*0.901,0.011
395,2:neutral,2:neutral,,0.381,*0.57,0.049
396,2:neutral,2:neutral,,0.141,*0.849,0.009
397,2:neutral,1:positive,+,*0.875,0.119,0.006
398,2:neutral,1:positive,+,*0.863,0.125,0.011
399,2:neutral,2:neutral,,0.15,*0.85,0
400,2:neutral,1:positive,+,*0.497,0.495,0.008
401,2:neutral,2:neutral,,0.126,*0.866,0.008
402,2:neutral,2:neutral,,0.069,*0.926,0.005
403,2:neutral,2:neutral,,0.011,*0.988,0.001
404,2:neutral,2:neutral,,0.031,*0.937,0.032
405,2:neutral,2:neutral,,0.335,*0.664,0.001
406,2:neutral,1:positive,+,*0.593,0.406,0.001
407,2:neutral,1:positive,+,*0.707,0.245,0.048
408,2:neutral,2:neutral,,0.01,*0.989,0.001
409,2:neutral,2:neutral,,0.029,*0.876,0.095
410,2:neutral,2:neutral,,0.206,*0.785,0.009
411,2:neutral,2:neutral,,0.136,*0.854,0.01
412,2:neutral,2:neutral,,0.31,*0.69,0
413,2:neutral,2:neutral,,0.058,*0.939,0.003
414,2:neutral,2:neutral,,0.084,*0.9,0.015
415,2:neutral,2:neutral,,0.042,*0.921,0.037
416,2:neutral,3:negative,+,0.006,0.327,*0.667
417,2:neutral,2:neutral,,0.017,*0.904,0.079
418,2:neutral,1:positive,+,*0.874,0.064,0.062
419,2:neutral,2:neutral,,0.32,*0.565,0.115
420,2:neutral,2:neutral,,0.059,*0.922,0.02
421,2:neutral,2:neutral,,0.007,*0.964,0.029
422,2:neutral,2:neutral,,0.122,*0.824,0.054
423,2:neutral,2:neutral,,0.003,*0.982,0.014
424,2:neutral,1:positive,+,*0.912,0.085,0.003
425,2:neutral,2:neutral,,0.058,*0.927,0.016
426,2:neutral,3:negative,+,0.02,0.484,*0.496
427,2:neutral,2:neutral,,0.281,*0.717,0.002
428,2:neutral,2:neutral,,0.396,*0.598,0.006
429,2:neutral,2:neutral,,0.068,*0.889,0.044
430,2:neutral,2:neutral,,0.203,*0.785,0.012
431,2:neutral,2:neutral,,0.091,*0.905,0.004
432,2:neutral,2:neutral,,0.021,*0.855,0.124
433,2:neutral,2:neutral,,0.004,*0.859,0.137
434,2:neutral,2:neutral,,0.034,*0.962,0.004
435,2:neutral,2:neutral,,0.031,*0.875,0.094
436,2:neutral,2:neutral,,0.002,*0.921,0.077
437,2:neutral,2:neutral,,0.41,*0.521,0.069
438,2:neutral,2:neutral,,0.301,*0.698,0.001
439,2:neutral,2:neutral,,0.357,*0.39,0.254
440,2:neutral,2:neutral,,0.242,*0.728,0.03
441,2:neutral,2:neutral,,0.006,*0.943,0.051
442,2:neutral,2:neutral,,0.031,*0.953,0.016
443,2:neutral,2:neutral,,0.01,*0.958,0.032
444,2:neutral,2:neutral,,0.005,*0.65,0.346
445,2:neutral,2:neutral,,0.006,*0.99,0.004
446,2:neutral,2:neutral,,0.062,*0.934,0.004
447,2:neutral,2:neutral,,0.07,*0.866,0.064
448,2:neutral,2:neutral,,0.021,*0.941,0.038
449,2:neutral,2:neutral,,0.008,*0.99,0.001
450,2:neutral,2:neutral,,0.048,*0.886,0.066
451,2:neutral,2:neutral,,0.209,*0.789,0.002
452,2:neutral,2:neutral,,0.228,*0.754,0.018
453,2:neutral,2:neutral,,0.006,*0.994,0
454,2:neutral,2:neutral,,0.009,*0.939,0.052
455,2:neutral,2:neutral,,0.075,*0.913,0.012
456,2:neutral,2:neutral,,0.209,*0.778,0.013
457,2:neutral,2:neutral,,0.261,*0.71,0.029
458,2:neutral,2:neutral,,0.354,*0.643,0.003
459,2:neutral,2:neutral,,0.041,*0.94,0.019
460,2:neutral,2:neutral,,0.005,*0.986,0.009
461,2:neutral,2:neutral,,0.153,*0.818,0.029
462,2:neutral,2:neutral,,0.093,*0.898,0.009
463,2:neutral,2:neutral,,0.198,*0.801,0.001
464,2:neutral,2:neutral,,0.058,*0.938,0.004
465,2:neutral,2:neutral,,0.007,*0.989,0.004
466,2:neutral,1:positive,+,*0.502,0.489,0.009
467,2:neutral,3:negative,+,0.166,0.325,*0.509
468,2:neutral,2:neutral,,0.011,*0.829,0.16
469,2:neutral,3:negative,+,0.001,0.43,*0.569
470,2:neutral,1:positive,+,*0.895,0.097,0.008
471,2:neutral,1:positive,+,*0.455,0.441,0.104
472,2:neutral,2:neutral,,0.095,*0.904,0.001
473,2:neutral,2:neutral,,0.047,*0.947,0.006
474,2:neutral,2:neutral,,0.291,*0.708,0.001
475,2:neutral,2:neutral,,0.069,*0.709,0.222
476,2:neutral,2:neutral,,0.065,*0.916,0.019
477,2:neutral,2:neutral,,0.034,*0.964,0.001
478,2:neutral,1:positive,+,*0.747,0.25,0.002
479,2:neutral,2:neutral,,0.167,*0.691,0.143
480,2:neutral,2:neutral,,0.039,*0.929,0.031
481,2:neutral,2:neutral,,0.007,*0.981,0.012
482,2:neutral,2:neutral,,0.159,*0.743,0.098
483,2:neutral,2:neutral,,0.002,*0.914,0.084
484,2:neutral,2:neutral,,0.033,*0.96,0.006
485,2:neutral,2:neutral,,0.025,*0.965,0.01
486,2:neutral,1:positive,+,*0.652,0.345,0.003
487,2:neutral,3:negative,+,0.031,0.211,*0.759
488,2:neutral,2:neutral,,0.016,*0.862,0.122
489,2:neutral,2:neutral,,0.169,*0.746,0.085
490,2:neutral,2:neutral,,0.182,*0.788,0.03
491,2:neutral,2:neutral,,0.017,*0.764,0.219
492,2:neutral,2:neutral,,0.267,*0.671,0.062
493,2:neutral,2:neutral,,0.02,*0.946,0.034
494,2:neutral,2:neutral,,0.026,*0.864,0.11
495,2:neutral,1:positive,+,*0.477,0.45,0.072
496,2:neutral,2:neutral,,0.416,*0.578,0.006
497,2:neutral,2:neutral,,0.358,*0.405,0.237
498,2:neutral,1:positive,+,*0.62,0.198,0.183
499,2:neutral,2:neutral,,0.01,*0.823,0.167
500,2:neutral,2:neutral,,0.065,*0.831,0.103
1,1:positive,1:positive,,*0.713,0.287,0
2,1:positive,2:neutral,+,0.212,*0.776,0.012
3,1:positive,2:neutral,+,0.254,*0.66,0.086
4,1:positive,3:negative,+,0.128,0.264,*0.608
5,1:positive,1:positive,,*0.97,0.013,0.016
6,1:positive,2:neutral,+,0.396,*0.452,0.152
7,1:positive,1:positive,,*0.892,0.107,0
8,1:positive,2:neutral,+,0.213,*0.78,0.007
9,1:positive,1:positive,,*0.693,0.139,0.168
10,1:positive,1:positive,,*0.831,0.164,0.005
11,1:positive,1:positive,,*0.96,0.04,0
12,1:positive,1:positive,,*0.648,0.292,0.06
13,1:positive,1:positive,,*1,0,0
14,1:positive,1:positive,,*0.906,0.092,0.002
15,1:positive,1:positive,,*0.884,0.115,0.001
16,1:positive,1:positive,,*0.997,0,0.002
17,1:positive,1:positive,,*0.85,0.033,0.117
18,1:positive,1:positive,,*0.831,0.164,0.005
19,1:positive,3:negative,+,0.015,0.38,*0.604
20,1:positive,1:positive,,*0.906,0.057,0.037
21,1:positive,3:negative,+,0.078,0.191,*0.73
22,1:positive,1:positive,,*0.608,0.392,0
23,1:positive,1:positive,,*0.689,0.311,0
24,1:positive,1:positive,,*0.798,0.202,0
25,1:positive,1:positive,,*0.879,0.099,0.022
26,1:positive,1:positive,,*0.987,0.008,0.005
27,1:positive,1:positive,,*0.743,0.255,0.002
28,1:positive,1:positive,,*0.821,0.175,0.004
29,1:positive,1:positive,,*0.759,0.002,0.239
30,1:positive,1:positive,,*0.902,0.092,0.006
31,1:positive,1:positive,,*0.593,0.407,0
32,1:positive,2:neutral,+,0.128,*0.87,0.001
33,1:positive,1:positive,,*0.848,0.147,0.005
34,1:positive,2:neutral,+,0.28,*0.719,0
35,1:positive,1:positive,,*0.989,0.006,0.005
36,1:positive,1:positive,,*0.651,0.349,0
37,1:positive,1:positive,,*0.995,0.003,0.003
38,1:positive,1:positive,,*0.979,0.021,0
39,1:positive,1:positive,,*0.999,0.001,0
40,1:positive,3:negative,+,0.067,0.054,*0.879
41,1:positive,3:negative,+,0.462,0.01,*0.528
42,1:positive,1:positive,,*0.56,0.427,0.013
43,1:positive,2:neutral,+,0.071,*0.918,0.011
44,1:positive,1:positive,,*0.492,0.465,0.043
45,1:positive,2:neutral,+,0.445,*0.528,0.027
46,1:positive,1:positive,,*0.983,0.014,0.002
47,1:positive,1:positive,,*0.972,0.02,0.009
48,1:positive,1:positive,,*0.598,0.399,0.003
49,1:positive,2:neutral,+,0.001,*0.559,0.44
50,1:positive,1:positive,,*0.984,0.014,0.002
51,1:positive,1:positive,,*0.959,0.038,0.003
52,1:positive,1:positive,,*0.924,0.076,0
53,1:positive,2:neutral,+,0.258,*0.736,0.006
54,1:positive,2:neutral,+,0.179,*0.812,0.009
55,1:positive,1:positive,,*0.979,0.02,0
56,1:positive,2:neutral,+,0.244,*0.749,0.007
57,1:positive,3:negative,+,0.049,0.011,*0.94
58,1:positive,1:positive,,*0.884,0.114,0.002
59,1:positive,1:positive,,*0.991,0.008,0.001
60,1:positive,1:positive,,*0.923,0.072,0.004
61,1:positive,2:neutral,+,0.141,*0.794,0.065
62,1:positive,2:neutral,+,0.306,*0.694,0
63,1:positive,2:neutral,+,0.074,*0.868,0.058
64,1:positive,2:neutral,+,0.402,*0.593,0.005
65,1:positive,2:neutral,+,0.411,*0.566,0.023
66,1:positive,1:positive,,*0.688,0.31,0.003
67,1:positive,1:positive,,*0.998,0.002,0
68,1:positive,1:positive,,*0.999,0,0.001
69,1:positive,1:positive,,*0.814,0.186,0
70,1:positive,1:positive,,*0.927,0.072,0.001
71,1:positive,1:positive,,*0.842,0.142,0.017
72,1:positive,2:neutral,+,0.037,*0.888,0.075
73,1:positive,1:positive,,*0.974,0.026,0
74,1:positive,1:positive,,*0.762,0.231,0.007
75,1:positive,1:positive,,*0.988,0.012,0
76,1:positive,1:positive,,*0.972,0.025,0.003
77,1:positive,1:positive,,*0.819,0.154,0.026
78,1:positive,1:positive,,*0.477,0.395,0.127
79,1:positive,2:neutral,+,0.392,*0.606,0.002
80,1:positive,2:neutral,+,0.241,*0.752,0.007
81,1:positive,1:positive,,*0.862,0.113,0.025
82,1:positive,2:neutral,+,0.22,*0.78,0
83,1:positive,1:positive,,*0.698,0.302,0
84,1:positive,1:positive,,*0.564,0.34,0.096
85,1:positive,1:positive,,*0.741,0.238,0.022
86,1:positive,1:positive,,*0.999,0.001,0
87,1:positive,2:neutral,+,0.304,*0.68,0.015
88,1:positive,1:positive,,*0.545,0,0.455
89,1:positive,1:positive,,*0.714,0.183,0.103
90,1:positive,2:neutral,+,0.215,*0.783,0.002
91,1:positive,2:neutral,+,0.195,*0.534,0.27
92,1:positive,1:positive,,*0.662,0.338,0.001
93,1:positive,2:neutral,+,0.138,*0.834,0.028
94,1:positive,1:positive,,*0.968,0.01,0.021
95,1:positive,1:positive,,*0.92,0.033,0.047
96,1:positive,2:neutral,+,0.003,*0.695,0.302
97,1:positive,2:neutral,+,0.057,*0.942,0.001
98,1:positive,1:positive,,*0.998,0.001,0
99,1:positive,1:positive,,*0.719,0.277,0.004
100,1:positive,1:positive,,*0.97,0.029,0.001
101,1:positive,1:positive,,*0.873,0.127,0
102,1:positive,1:positive,,*0.85,0.012,0.138
103,1:positive,1:positive,,*0.992,0.008,0
104,1:positive,1:positive,,*0.826,0.166,0.008
105,1:positive,2:neutral,+,0.256,*0.717,0.027
106,1:positive,1:positive,,*0.933,0.048,0.019
107,1:positive,1:positive,,*0.62,0.362,0.018
108,1:positive,1:positive,,*0.789,0.206,0.005
109,1:positive,1:positive,,*0.864,0.044,0.092
110,1:positive,1:positive,,*0.911,0.013,0.076
111,1:positive,1:positive,,*1,0,0
112,1:positive,1:positive,,*0.691,0.309,0
113,1:positive,2:neutral,+,0.363,*0.498,0.139
114,1:positive,3:negative,+,0.239,0.195,*0.566
115,1:positive,1:positive,,*0.749,0.25,0
116,1:positive,1:positive,,*0.986,0.009,0.005
117,1:positive,1:positive,,*0.732,0.209,0.059
118,1:positive,1:positive,,*0.793,0.201,0.006
119,1:positive,1:positive,,*0.941,0.054,0.006
120,1:positive,1:positive,,*0.987,0.009,0.004
121,1:positive,1:positive,,*0.998,0.001,0.001
122,1:positive,1:positive,,*0.999,0,0
123,1:positive,2:neutral,+,0.439,*0.546,0.016
124,1:positive,1:positive,,*0.975,0.02,0.005
125,1:positive,2:neutral,+,0.294,*0.614,0.092
126,1:positive,1:positive,,*0.997,0.003,0
127,1:positive,1:positive,,*0.487,0.474,0.039
128,1:positive,1:positive,,*0.992,0,0.007
129,1:positive,1:positive,,*0.812,0.153,0.036
130,1:positive,1:positive,,*0.933,0.063,0.004
131,1:positive,1:positive,,*0.945,0.054,0.001
132,1:positive,1:positive,,*0.869,0.13,0.001
133,1:positive,1:positive,,*0.919,0.077,0.004
134,1:positive,2:neutral,+,0.349,*0.632,0.019
135,1:positive,1:positive,,*0.736,0.23,0.035
136,1:positive,1:positive,,*0.773,0.227,0
137,1:positive,1:positive,,*0.918,0.079,0.003
138,1:positive,1:positive,,*0.891,0.107,0.002
139,1:positive,1:positive,,*0.934,0.062,0.005
140,1:positive,1:positive,,*0.899,0.1,0.001
141,1:positive,1:positive,,*0.981,0.006,0.013
142,1:positive,2:neutral,+,0.446,*0.531,0.023
143,1:positive,1:positive,,*0.972,0.008,0.02
144,1:positive,1:positive,,*0.61,0.343,0.047
145,1:positive,1:positive,,*0.859,0.131,0.01
146,1:positive,1:positive,,*0.988,0.012,0
147,1:positive,1:positive,,*0.933,0.052,0.015
148,1:positive,1:positive,,*0.674,0.158,0.168
149,1:positive,1:positive,,*0.921,0.002,0.077
150,1:positive,2:neutral,+,0.046,*0.875,0.079
151,1:positive,1:positive,,*1,0,0
152,1:positive,1:positive,,*0.683,0.304,0.012
153,1:positive,1:positive,,*0.875,0.114,0.011
154,1:positive,2:neutral,+,0.408,*0.587,0.005
155,1:positive,1:positive,,*0.615,0.048,0.337
156,1:positive,2:neutral,+,0.335,*0.66,0.005
157,1:positive,2:neutral,+,0.038,*0.96,0.002
158,1:positive,2:neutral,+,0.239,*0.622,0.14
159,1:positive,1:positive,,*0.774,0.217,0.009
160,1:positive,1:positive,,*0.878,0.11,0.012
161,1:positive,2:neutral,+,0.424,*0.511,0.065
162,1:positive,1:positive,,*1,0,0
163,1:positive,1:positive,,*0.998,0,0.002
164,1:positive,1:positive,,*0.998,0.001,0.001
165,1:positive,1:positive,,*0.964,0.031,0.005
166,1:positive,1:positive,,*0.581,0.41,0.009
167,1:positive,1:positive,,*0.826,0.173,0.001
168,1:positive,1:positive,,*0.928,0.043,0.029
169,1:positive,2:neutral,+,0.097,*0.902,0.001
170,1:positive,1:positive,,*0.924,0.072,0.004
171,1:positive,1:positive,,*0.977,0.023,0
172,1:positive,1:positive,,*0.917,0.071,0.012
173,1:positive,1:positive,,*0.81,0.148,0.042
174,1:positive,2:neutral,+,0.467,*0.498,0.035
175,1:positive,1:positive,,*0.923,0.005,0.072
176,3:negative,3:negative,,0.005,0.005,*0.99
177,3:negative,3:negative,,0.298,0.301,*0.401
178,3:negative,3:negative,,0.356,0.119,*0.525
179,3:negative,2:neutral,+,0.021,*0.814,0.165
180,3:negative,2:neutral,+,0.203,*0.744,0.053
181,3:negative,2:neutral,+,0.02,*0.882,0.098
182,3:negative,2:neutral,+,0,*0.849,0.151
183,3:negative,2:neutral,+,0.187,*0.59,0.223
184,3:negative,2:neutral,+,0.22,*0.641,0.14
185,3:negative,3:negative,,0.056,0.215,*0.728
186,3:negative,1:positive,+,*0.834,0.105,0.062
187,3:negative,3:negative,,0.264,0.093,*0.643
188,3:negative,3:negative,,0.012,0.304,*0.683
189,3:negative,3:negative,,0,0.056,*0.943
190,3:negative,2:neutral,+,0.165,*0.664,0.171
191,3:negative,3:negative,,0.002,0.226,*0.771
192,3:negative,3:negative,,0.002,0.152,*0.846
193,3:negative,3:negative,,0.206,0.098,*0.697
194,3:negative,2:neutral,+,0,*0.57,0.43
195,3:negative,3:negative,,0.043,0.165,*0.792
196,3:negative,2:neutral,+,0.187,*0.577,0.237
197,3:negative,1:positive,+,*0.737,0.234,0.028
198,3:negative,3:negative,,0.01,0.002,*0.989
199,3:negative,2:neutral,+,0.124,*0.836,0.04
200,3:negative,2:neutral,+,0.012,*0.867,0.121
201,3:negative,2:neutral,+,0.008,*0.549,0.444
202,3:negative,2:neutral,+,0.022,*0.957,0.021
203,3:negative,2:neutral,+,0.02,*0.638,0.342
204,3:negative,3:negative,,0.018,0.058,*0.923
205,3:negative,3:negative,,0.001,0.408,*0.591
206,3:negative,2:neutral,+,0.05,*0.933,0.017
207,3:negative,2:neutral,+,0.013,*0.853,0.134
208,3:negative,1:positive,+,*0.789,0.146,0.066
209,3:negative,3:negative,,0.387,0.002,*0.612
210,3:negative,2:neutral,+,0.014,*0.92,0.066
211,3:negative,1:positive,+,*0.471,0.329,0.2
212,3:negative,2:neutral,+,0.084,*0.891,0.025
213,3:negative,3:negative,,0.017,0.265,*0.718
214,3:negative,3:negative,,0.073,0.463,*0.464
215,3:negative,2:neutral,+,0.05,*0.936,0.014
216,3:negative,2:neutral,+,0.033,*0.684,0.283
217,3:negative,3:negative,,0,0.185,*0.815
218,3:negative,3:negative,,0.004,0.245,*0.751
219,3:negative,3:negative,,0.086,0.086,*0.829
220,3:negative,2:neutral,+,0.218,*0.4,0.382
221,3:negative,3:negative,,0.022,0.484,*0.494
222,3:negative,2:neutral,+,0.001,*0.729,0.27
223,3:negative,2:neutral,+,0.011,*0.668,0.321
224,3:negative,3:negative,,0.024,0.273,*0.703
225,3:negative,1:positive,+,*0.494,0.132,0.374
226,3:negative,3:negative,,0.005,0.007,*0.987
227,3:negative,3:negative,,0.227,0.169,*0.604
228,3:negative,3:negative,,0.001,0.457,*0.542
229,3:negative,2:neutral,+,0.014,*0.949,0.037
230,3:negative,3:negative,,0.021,0.02,*0.959
231,3:negative,3:negative,,0.18,0.127,*0.694
232,3:negative,3:negative,,0.028,0.262,*0.71
233,3:negative,3:negative,,0.009,0.21,*0.781
234,3:negative,3:negative,,0.002,0.142,*0.856
235,3:negative,2:neutral,+,0.001,*0.544,0.455
236,3:negative,3:negative,,0.011,0.41,*0.579
237,3:negative,3:negative,,0.008,0.282,*0.71
238,3:negative,3:negative,,0.003,0.017,*0.981
239,3:negative,2:neutral,+,0.004,*0.799,0.196
240,3:negative,2:neutral,+,0.149,*0.44,0.411
241,3:negative,1:positive,+,*0.889,0.001,0.11
242,3:negative,1:positive,+,*0.533,0.102,0.365
243,3:negative,1:positive,+,*0.717,0.013,0.27
244,3:negative,2:neutral,+,0.003,*0.727,0.271
245,3:negative,1:positive,+,*0.618,0.01,0.372
246,3:negative,3:negative,,0.025,0.266,*0.709
247,3:negative,1:positive,+,*0.655,0.043,0.302
248,3:negative,2:neutral,+,0.021,*0.622,0.357
249,3:negative,2:neutral,+,0.281,*0.598,0.121
250,3:negative,3:negative,,0.086,0.382,*0.531
251,2:neutral,2:neutral,,0.08,*0.905,0.016
252,2:neutral,2:neutral,,0.237,*0.746,0.017
253,2:neutral,2:neutral,,0.047,*0.946,0.007
254,2:neutral,2:neutral,,0.187,*0.774,0.039
255,2:neutral,1:positive,+,*0.616,0.384,0
256,2:neutral,2:neutral,,0.072,*0.897,0.031
257,2:neutral,2:neutral,,0.067,*0.924,0.009
258,2:neutral,1:positive,+,*0.615,0.373,0.012
259,2:neutral,2:neutral,,0.145,*0.848,0.007
260,2:neutral,1:positive,+,*0.627,0.35,0.024
261,2:neutral,2:neutral,,0.152,*0.823,0.025
262,2:neutral,2:neutral,,0.187,*0.805,0.009
263,2:neutral,3:negative,+,0.024,0.306,*0.669
264,2:neutral,2:neutral,,0.39,*0.601,0.009
265,2:neutral,1:positive,+,*0.547,0.445,0.008
266,2:neutral,3:negative,+,0.005,0.112,*0.883
267,2:neutral,2:neutral,,0.004,*0.995,0.002
268,2:neutral,2:neutral,,0.148,*0.842,0.01
269,2:neutral,2:neutral,,0.054,*0.94,0.007
270,2:neutral,1:positive,+,*0.554,0.442,0.004
271,2:neutral,1:positive,+,*0.823,0.151,0.026
272,2:neutral,1:positive,+,*0.963,0.028,0.009
273,2:neutral,2:neutral,,0.283,*0.71,0.008
274,2:neutral,2:neutral,,0.121,*0.87,0.009
275,2:neutral,2:neutral,,0.127,*0.864,0.009
276,2:neutral,2:neutral,,0.08,*0.92,0
277,2:neutral,2:neutral,,0.33,*0.451,0.22
278,2:neutral,2:neutral,,0.203,*0.783,0.014
279,2:neutral,3:negative,+,0.071,0.361,*0.568
280,2:neutral,2:neutral,,0.143,*0.816,0.041
281,2:neutral,2:neutral,,0.278,*0.722,0.001
282,2:neutral,2:neutral,,0.468,*0.51,0.022
283,2:neutral,2:neutral,,0.219,*0.746,0.036
284,2:neutral,2:neutral,,0.222,*0.772,0.006
285,2:neutral,2:neutral,,0.012,*0.969,0.018
286,2:neutral,2:neutral,,0.03,*0.95,0.019
287,2:neutral,2:neutral,,0.036,*0.91,0.054
288,2:neutral,2:neutral,,0.033,*0.948,0.019
289,2:neutral,2:neutral,,0.014,*0.731,0.255
290,2:neutral,2:neutral,,0.144,*0.848,0.008
291,2:neutral,2:neutral,,0.101,*0.86,0.038
292,2:neutral,2:neutral,,0.08,*0.764,0.156
293,2:neutral,1:positive,+,*0.654,0.336,0.01
294,2:neutral,1:positive,+,*0.945,0.055,0
295,2:neutral,2:neutral,,0.063,*0.929,0.007
296,2:neutral,2:neutral,,0.035,*0.96,0.005
297,2:neutral,2:neutral,,0,*0.746,0.254
298,2:neutral,2:neutral,,0.012,*0.97,0.018
299,2:neutral,1:positive,+,*0.928,0.009,0.064
300,2:neutral,3:negative,+,0.174,0.138,*0.688
301,2:neutral,2:neutral,,0.075,*0.923,0.002
302,2:neutral,2:neutral,,0.055,*0.938,0.006
303,2:neutral,2:neutral,,0.095,*0.901,0.004
304,2:neutral,2:neutral,,0.346,*0.641,0.014
305,2:neutral,3:negative,+,0.061,0.032,*0.907
306,2:neutral,2:neutral,,0.073,*0.924,0.003
307,2:neutral,2:neutral,,0.012,*0.859,0.129
308,2:neutral,2:neutral,,0.199,*0.745,0.056
309,2:neutral,3:negative,+,0.208,0.255,*0.537
310,2:neutral,2:neutral,,0.009,*0.988,0.003
311,2:neutral,2:neutral,,0.157,*0.707,0.136
312,2:neutral,2:neutral,,0.39,*0.586,0.024
313,2:neutral,1:positive,+,*0.515,0.001,0.484
314,2:neutral,3:negative,+,0.002,0.348,*0.651
315,2:neutral,2:neutral,,0.011,*0.694,0.296
316,2:neutral,2:neutral,,0.001,*0.984,0.014
317,2:neutral,2:neutral,,0.293,*0.701,0.007
318,2:neutral,1:positive,+,*0.844,0.151,0.005
319,2:neutral,1:positive,+,*0.943,0.054,0.003
320,2:neutral,2:neutral,,0.238,*0.737,0.025
321,2:neutral,2:neutral,,0.241,*0.688,0.071
322,2:neutral,2:neutral,,0.032,*0.955,0.013
323,2:neutral,3:negative,+,0.095,0.022,*0.883
324,2:neutral,2:neutral,,0.122,*0.861,0.017
325,2:neutral,2:neutral,,0.006,*0.986,0.008
326,2:neutral,2:neutral,,0.018,*0.982,0
327,2:neutral,2:neutral,,0.049,*0.948,0.003
328,2:neutral,2:neutral,,0.186,*0.795,0.019
329,2:neutral,2:neutral,,0.013,*0.772,0.215
330,2:neutral,2:neutral,,0.026,*0.967,0.006
331,2:neutral,2:neutral,,0.006,*0.986,0.008
332,2:neutral,2:neutral,,0.361,*0.637,0.002
333,2:neutral,2:neutral,,0.032,*0.926,0.042
334,2:neutral,2:neutral,,0.065,*0.932,0.003
335,2:neutral,2:neutral,,0.016,*0.966,0.018
336,2:neutral,2:neutral,,0.097,*0.9,0.003
337,2:neutral,2:neutral,,0.026,*0.605,0.369
338,2:neutral,1:positive,+,*0.969,0.003,0.029
339,2:neutral,2:neutral,,0.142,*0.503,0.355
340,2:neutral,2:neutral,,0.052,*0.943,0.005
341,2:neutral,2:neutral,,0.103,*0.891,0.005
342,2:neutral,2:neutral,,0.18,*0.819,0.001
343,2:neutral,2:neutral,,0.01,*0.989,0.001
344,2:neutral,3:negative,+,0.058,0.291,*0.65
345,2:neutral,1:positive,+,*0.744,0.254,0.002
346,2:neutral,2:neutral,,0.115,*0.859,0.026
347,2:neutral,2:neutral,,0.009,*0.684,0.307
348,2:neutral,2:neutral,,0.129,*0.866,0.005
349,2:neutral,2:neutral,,0.052,*0.942,0.007
350,2:neutral,1:positive,+,*0.895,0.099,0.007
351,2:neutral,2:neutral,,0.083,*0.916,0.001
352,2:neutral,3:negative,+,0.002,0.497,*0.501
353,2:neutral,1:positive,+,*0.899,0.079,0.022
354,2:neutral,2:neutral,,0.149,*0.85,0.001
355,2:neutral,2:neutral,,0.266,*0.732,0.001
356,2:neutral,2:neutral,,0.313,*0.687,0
357,2:neutral,2:neutral,,0.02,*0.724,0.256
358,2:neutral,2:neutral,,0.179,*0.627,0.194
359,2:neutral,2:neutral,,0.225,*0.684,0.09
360,2:neutral,1:positive,+,*0.908,0.091,0.001
361,2:neutral,2:neutral,,0.096,*0.873,0.031
362,2:neutral,2:neutral,,0.003,*0.984,0.013
363,2:neutral,2:neutral,,0.006,*0.984,0.009
364,2:neutral,2:neutral,,0.019,*0.978,0.003
365,2:neutral,3:negative,+,0.151,0.214,*0.635
366,2:neutral,1:positive,+,*0.743,0.043,0.213
367,2:neutral,3:negative,+,0.139,0.269,*0.593
368,2:neutral,2:neutral,,0.133,*0.684,0.184
369,2:neutral,1:positive,+,*0.902,0.025,0.074
370,2:neutral,2:neutral,,0.058,*0.941,0.001
371,2:neutral,2:neutral,,0.033,*0.94,0.027
372,2:neutral,1:positive,+,*0.517,0.449,0.035
373,2:neutral,2:neutral,,0.001,*0.971,0.029
374,2:neutral,3:negative,+,0.028,0.208,*0.764
375,2:neutral,2:neutral,,0.177,*0.566,0.257
376,2:neutral,2:neutral,,0.005,*0.961,0.034
377,2:neutral,2:neutral,,0.344,*0.656,0
378,2:neutral,2:neutral,,0.205,*0.771,0.025
379,2:neutral,1:positive,+,*0.77,0.164,0.066
380,2:neutral,2:neutral,,0.099,*0.899,0.002
381,2:neutral,2:neutral,,0.285,*0.709,0.006
