words,polarity
savage,Negative
save#1,Positive
savings,Positive
savor,Positive
savvy,Positive
scald,Negative
scamper,Positive
scandal,Negative
scandalous,Negative
scapegoat,Negative
scar,Negative
scarcity,Negative
scare#1,Negative
scare#2,Negative
scared#1,Negative
scared#2,Negative
scary,Negative
scheme#1,Negative
scheme#2,Negative
scoff,Negative
scold#1,Negative
scold#2,Negative
scorch,Negative
scorn,Negative
scornful,Negative
scoundrel,Negative
scowl,Negative
scrape,Negative
scream#1,Negative
scream#2,Negative
screech#1,Negative
screech#2,Negative
screw#2,Negative
scruples,Positive
scrupulous,Positive
scrutinize,Negative
scuffle,Negative
scum,Negative
secede,Negative
secession,Negative
secrecy,Negative
secret,Negative
secure#2,Positive
secure#3,Positive
security#1,Positive
security#2,Positive
sedentary,Negative
seethe,Negative
segregation,Negative
seize,Negative
selective,Positive
self-contained,Positive
self-respect,Positive
selfish,Negative
selfishness,Negative
semblance,Positive
senile,Negative
sensational,Positive
sense#3,Positive
sense#5,Positive
senseless,Negative
sensible,Positive
sensitive,Positive
sensitivity,Positive
sentence#2,Negative
sequester,Negative
serene,Positive
serious,Positive
seriousness,Positive
serve#4,Negative
service#3,Negative
servitude,Negative
settle#4,Positive
sever,Negative
severe,Negative
severity,Negative
shabby,Negative
shadow#2,Negative
shady,Negative
shaggy,Negative
shake#1,Negative
shallow,Negative
shame,Negative
shameful,Negative
shameless,Negative
share#1,Positive
share#3,Positive
share#4,Positive
shark,Negative
shell#2,Negative
shell#3,Negative
shelter#1,Positive
shelter#2,Positive
shield,Positive
shiny,Positive
shipwreck,Negative
shirk,Negative
shiver,Negative
shock#1,Negative
shock#2,Negative
shock#3,Negative
shock#4,Negative
shock#5,Negative
shoddy,Negative
shoot#1,Negative
shoot#3,Negative
shoot#6,Negative
short#5,Negative
shortage,Negative
shortcoming,Negative
shortsighted,Negative
shot#1,Negative
shove,Negative
show#4,Negative
shred,Negative
shrew,Negative
shrewd,Positive
shrewdness,Positive
shriek,Negative
shrill,Negative
shrivel,Negative
shroud,Negative
shrug#1,Negative
shrug#2,Negative
shun,Negative
shyness,Negative
sick#1,Negative
sick#2,Negative
sick#3,Negative
sick#4,Negative
sickly,Negative
sickness,Negative
siege,Negative
significance,Positive
significant,Positive
signify,Positive
silly,Negative
simplicity,Positive
simplify#1,Positive
simplify#2,Positive
simplistic,Negative
sin#1,Negative
sin#2,Negative
sincere,Positive
sincerity,Positive
sinful,Negative
sinister,Negative
skeptical,Negative
sketchy,Negative
skill#1,Positive
skill#2,Positive
skillful,Positive
skirmish,Negative
skulk,Negative
slam,Negative
slander,Negative
slanderer,Negative
slanderous,Negative
slap,Negative
slash,Negative
slaughter,Negative
slayer,Negative
sleazy,Negative
sleek,Positive
sleepless,Negative
slight#2,Negative
slight#3,Negative
slight#4,Negative
slight#5,Negative
slime,Negative
sloppy,Negative
sloth,Negative
slothful,Negative
slug,Negative
sluggish,Negative
slump,Negative
sly,Negative
smack,Negative
smart#1,Positive
smart#2,Positive
smart#4,Positive
smash#1,Negative
smash#2,Negative
smear,Negative
smile#1,Positive
smile#2,Positive
smile#3,Positive
smile#4,Positive
smitten,Positive
smother,Negative
smuggle,Negative
snare,Negative
snarl,Negative
snatch,Negative
sneak,Negative
sneer,Negative
snore,Negative
sob,Negative
sober,Positive
sociable,Positive
softness,Positive
solace,Positive
solution,Positive
somber,Negative
soothe,Positive
sophisticated,Positive
sore,Negative
soreness,Negative
sorrow,Negative
sorrowful,Negative
sorry#1,Negative
sorry#2,Negative
sort#3,Negative
sought,Positive
sound#4,Positive
sound#6,Positive
soundness,Positive
sour,Negative
spank,Negative
spare#2,Positive
sparkle,Positive
spear#2,Negative
special,Positive
spectacular,Positive
speedily,Positive
spill,Negative
spinster,Negative
spite#2,Negative
spiteful,Negative
splendid,Positive
splendor,Positive
split#3,Negative
spoil,Negative
spot#5,Negative
spotless,Positive
sprain,Negative
sprightly,Positive
sputter,Negative
squander,Negative
squarely,Positive
stab,Negative
stability,Positive
stabilize,Positive
stable,Positive
stagnant,Negative
stain,Negative
stale,Negative
stalemate,Negative
stammer,Negative
stamp#2,Negative
stand#5,Positive
standardize,Positive
standstill,Negative
staple,Positive
stark,Negative
startle,Negative
starvation,Negative
starve,Negative
stately,Positive
static,Negative
statuesque,Positive
staunch,Positive
staunchness,Positive
steadfast,Positive
steadfastness,Positive
steadiness,Positive
steady,Positive
steal#1,Negative
steal#2,Negative
stern,Negative
stick#6,Negative
stifle,Negative
stigma,Negative
stimulate,Positive
stimulation,Positive
sting,Negative
stink,Negative
stole,Negative
stolen#1,Negative
stolen#2,Negative
stood#4,Positive
storm#2,Negative
stormy,Negative
straggle,Negative
straggler,Negative
straight#3,Positive
straightforward,Positive
strain#1,Negative
strain#2,Negative
strangle,Negative
stray,Negative
stress#1,Negative
stress#2,Negative
stricken,Negative
strict#1,Negative
strict#2,Negative
strict#3,Negative
strife,Negative
strike#1,Negative
strike#5,Negative
stringent,Negative
struck#1,Negative
struggle#1,Negative
struggle#2,Negative
struggle#3,Negative
strut,Positive
stubborn,Negative
stubbornly,Negative
stubbornness,Negative
stud,Positive
studious,Positive
study#3,Negative
stuffy,Negative
stunt,Negative
stupendous,Positive
stupid#1,Negative
stupid#2,Negative
stupid#3,Negative
stupidity,Negative
stupor,Negative
sturdy,Positive
stylish,Positive
suave,Positive
subjection,Negative
subjugate,Negative
subjugation,Negative
sublime,Positive
submissive,Negative
subscribe,Positive
subscription,Positive
subservience,Negative
subside,Negative
subsidize,Positive
subsidy,Positive
subsist,Positive
subsistence,Positive
substantiate,Positive
substitution,Negative
subtle,Positive
subtract,Negative
subversion,Negative
subvert,Negative
succeed#1,Positive
success,Positive
successful,Positive
succumb,Negative
sucker,Negative
suffer#1,Negative
suffer#3,Negative
sufferer,Negative
suffice,Positive
sufficient,Positive
suffocate,Negative
suit#3,Positive
suit#4,Positive
suitable,Positive
sullen,Negative
summit,Positive
sumptuous,Positive
sunder,Negative
super,Positive
superficial,Negative
superficiality,Negative
superfluous,Negative
superior,Positive
superiority,Positive
superlative,Positive
superstition,Negative
superstitious,Negative
support#1,Positive
support#2,Positive
support#3,Positive
support#4,Positive
supportive,Positive
suppress,Negative
suppression,Negative
supreme#1,Positive
supreme#2,Positive
surge,Positive
surmise,Positive
surmount,Positive
surpass,Positive
survival,Positive
survive,Positive
survivor,Positive
susceptible,Negative
suspect#1,Negative
suspect#2,Negative
suspend,Negative
suspension,Negative
suspicion,Negative
suspicious,Negative
swear,Negative
sweet#1,Positive
sweet#3,Positive
sweet#4,Positive
sweet#5,Positive
sweeten,Positive
sweetheart,Positive
sweetness,Positive
swiftness,Positive
swoon,Positive
swore,Negative
sworn,Positive
symbolize,Positive
symmetry,Positive
sympathetic,Positive
sympathize,Positive
sympathy,Positive
symptom,Negative
synthesis,Positive
taboo,Negative
tact,Positive
tactics,Positive
taint,Negative
talent,Positive
talented,Positive
tamper,Negative
tantrum,Negative
tardy,Negative
tariff,Negative
taste#2,Positive
tatter,Negative
taunt#1,Negative
taunt#2,Negative
tax#2,Negative
tear#1,Negative
tear#3,Negative
tease,Negative
tedious,Negative
temper#1,Negative
temper#2,Negative
temperance,Positive
temperate,Positive
tempest,Negative
temporarily,Negative
tempt,Positive
temptation,Negative
tenacious,Positive
tenacity,Positive
tenderness,Positive
tense,Negative
tension,Negative
terrible,Negative
terrific,Positive
terrify,Negative
terror,Negative
terrorism,Negative
terrorize,Negative
thank#1,Positive
thank#2,Positive
thank#3,Positive
thankful,Positive
theft,Negative
therapeutic,Positive
thief,Negative
thirst,Negative
thirsty,Negative
thorny,Negative
thorough,Positive
thoughtful,Positive
thoughtfulness,Positive
thoughtless,Negative
thrash,Negative
threat,Negative
threaten,Negative
thrift,Positive
thrifty,Positive
thrill,Positive
thrive,Positive
throw#2,Negative
throw#3,Negative
thud,Negative
thwart,Negative
timidity,Negative
tingle#1,Positive
tire#2,Negative
tire#3,Negative
tire#4,Negative
tired#1,Negative
tired#2,Negative
tired#3,Negative
tired#4,Negative
tiresome,Negative
togetherness,Positive
toil,Negative
tolerable,Negative
tolerance,Positive
tolerant,Positive
tolerate,Positive
toleration,Positive
too#3,Negative
topmost,Positive
topple,Negative
torment,Negative
torrent,Negative
torturous,Negative
touchy,Negative
tradition,Positive
traditional,Positive
tragedy,Negative
tragic,Negative
train#4,Positive
traitor,Negative
tramp,Negative
trample,Negative
tranquil,Positive
tranquility,Positive
transgress,Negative
trap#1,Negative
trap#2,Negative
trauma,Negative
traumatic,Negative
travel#4,Positive
treacherous,Negative
treachery,Negative
treason,Negative
treasonous,Negative
treasure#1,Positive
treasure#2,Positive
treat#2,Positive
treatise,Positive
treaty,Positive
tremendous#1,Positive
tremendous#2,Positive
trespass,Negative
tribute,Positive
trick#1,Negative
trick#2,Negative
triumph#1,Positive
triumph#2,Positive
triumphal,Positive
triumphant,Positive
trivial,Negative
trophy,Positive
trouble#1,Negative
trouble#2,Negative
trouble#3,Negative
trouble#4,Negative
troublesome,Negative
truant,Negative
trudge,Negative
true#1,Positive
true#2,Positive
true#3,Positive
true#4,Positive
true#5,Positive
trust#1,Positive
trust#2,Positive
trust#3,Positive
trust#4,Positive
trust#6,Positive
trust#7,Positive
trustworthiness,Positive
trustworthy,Positive
truth,Positive
truthful,Positive
try#4,Negative
try#5,Negative
turbulent,Negative
turmoil,Negative
turn#5,Negative
turn#8,Negative
twitch,Negative
tyranny,Negative
ugly,Negative
ultimatum,Negative
unaccustomed,Negative
unarm,Negative
unattractive,Negative
unauthentic,Negative
unavoidable,Negative
unbearable,Negative
unbelievable,Negative
unbound,Positive
unbroken,Positive
uncivil,Negative
unclean,Negative
unclear,Negative
uncomfortable,Negative
uncommon,Positive
uncouth,Negative
undependability,Negative
undependable,Negative
undermine,Negative
understand#1,Positive
understand#2,Positive
understandable,Positive
understood,Positive
underworld,Negative
undesirable,Negative
undid,Negative
undignified,Negative
undo,Negative
undone,Negative
undoubted,Positive
undoubtedly,Positive
undue,Negative
uneasiness,Negative
uneasy,Negative
uneconomical,Negative
unemployed,Negative
unequal,Negative
uneven,Negative
unexpectedly,Negative
unfair,Negative
unfaithful,Negative
unfamiliar,Negative
unfavorable,Negative
unfeeling,Negative
unfit,Negative
unforeseen,Negative
unforgettable,Positive
unfortunate#1,Negative
unfortunate#2,Negative
unfortunate#3,Negative
unfriendly,Negative
ungrateful,Negative
unguarded,Negative
unhappiness,Negative
unhappy,Negative
unhealthy,Negative
unhurried,Positive
unimpeachable,Positive
unimportant,Negative
uninformed,Negative
unique,Positive
unity,Positive
unjust,Negative
unjustified,Negative
unkind,Negative
unlawful,Negative
unlimited,Positive
unlucky,Negative
unmoved,Negative
unnatural,Negative
unnecessary,Negative
unnerve,Negative
unnoticed,Negative
unobserved,Negative
unpleasant,Negative
unpopular,Negative
unprofitable,Negative
unqualified,Negative
unreasonable,Negative
unreliability,Negative
unreliable,Negative
unrest,Negative
unruly,Negative
unsafe,Negative
unsatisfactory,Negative
unscrupulous,Negative
unseen,Negative
unselfish,Positive
unsettling,Negative
unsound,Negative
unspeakable,Negative
unstable,Negative
unsteadiness,Negative
unsteady,Negative
unsuccessful,Negative
untimely,Negative
untouched,Positive
untrained,Negative
untrue,Negative
untrustworthy,Negative
untruth,Negative
unwilling,Negative
unwillingness,Negative
unwise,Negative
unworthy,Negative
upbeat,Positive
upfront,Positive
upgrade,Positive
upheaval,Negative
upheld,Positive
uphold,Positive
uplift,Positive
uppermost,Positive
upright,Positive
uprising,Negative
uproar,Negative
uproot,Negative
upset#1,Negative
upset#2,Negative
upset#3,Negative
upset#4,Negative
upset#5,Negative
upside,Positive
upward,Positive
usable,Positive
useful,Positive
usefulness,Positive
useless,Negative
usurp,Negative
utilitarian,Positive
utilization,Positive
utilize,Positive
utterance,Negative
uttermost,Positive
vagabond,Negative
vagrant,Negative
vague,Negative
vagueness,Negative
vain,Negative
valiant,Positive
valid,Positive
validity,Positive
valor,Positive
valuable,Positive
value#2,Positive
value#3,Positive
vanish,Negative
vanity,Negative
vanquish,Positive
vastness,Positive
vehement,Negative
venerable,Positive
venerate,Positive
vengeance,Negative
venom,Negative
venomous,Negative
verification,Positive
verify,Positive
veritable,Positive
versatile,Positive
versatility,Positive
veto,Negative
vex,Negative
vexation,Negative
vexing,Negative
viability,Positive
viable,Positive
vice#1,Negative
vicious,Negative
victorious,Positive
vie,Negative
vigilance,Positive
vigilant,Positive
vile,Negative
villain,Negative
violate,Negative
violation,Negative
violence,Negative
violent,Negative
viper,Negative
virtue,Positive
virtuous,Positive
visionary,Positive
visualization,Positive
vitality,Positive
vivacious,Positive
vivid,Positive
void,Negative
volatile,Negative
volatility,Negative
voluntary,Positive
vomit,Negative
vouchsafe,Positive
vulgar,Negative
wail,Negative
wait#4,Negative
wallow,Negative
wane,Negative
wanton,Negative
war,Negative
warfare,Negative
warlike,Negative
warm#1,Positive
warm#2,Positive
warm#3,Positive
warm#4,Positive
warm#5,Positive
warmhearted,Positive
warmth,Positive
warp,Negative
wary,Negative
waste#1,Negative
waste#2,Negative
wasteful,Negative
wastefulness,Negative
wayward,Negative
weaken,Negative
wear#2,Negative
weariness,Negative
wearisome,Negative
wee,Negative
weed,Negative
weep,Negative
weird,Negative
welcome#1,Positive
welcome#2,Positive
welcome#3,Positive
welcome#5,Positive
welfare#1,Positive
well#2,Positive
well#4,Positive
wench,Negative
whack,Negative
whimper,Negative
whimsical,Positive
whine,Negative
whip#1,Negative
whip#2,Negative
whip#3,Negative
wholesome,Positive
wicked,Negative
wickedness,Negative
wild#1,Negative
wild#2,Negative
wild#3,Negative
wild#4,Negative
willful,Positive
willing,Positive
willingness,Positive
wilt,Negative
wily,Negative
wince,Negative
wisdom,Positive
wise#1,Positive
wise#2,Positive
wise#3,Positive
wise#4,Positive
wise#5,Positive
witchcraft,Negative
withheld,Negative
withhold,Negative
witty,Positive
woe,Negative
woeful,Negative
wonder#1,Positive
wonderful,Positive
wondrous,Positive
woo,Positive
workable,Positive
workmanship,Positive
world-famous,Positive
worn#2,Negative
worn#3,Negative
worrier,Negative
worry#1,Negative
worry#2,Negative
worry#3,Negative
worry#4,Negative
worry#5,Negative
worse,Negative
worsen,Negative
worst,Negative
worth#1,Positive
worth#2,Positive
worth#3,Positive
worth#4,Positive
worth-while,Positive
worthiness,Positive
worthless,Negative
worthy,Positive
wound#1,Negative
wound#3,Negative
wound#5,Negative
wrath,Negative
wreck,Negative
wrestle,Negative
wretch,Negative
wretchedness,Negative
wrinkle,Negative
writhe,Negative
wrong#2,Negative
wrong#3,Negative
wrongful,Negative
wrought,Negative
yawn,Negative
yearn,Negative
yelp,Negative
zenith,Positive
zest,Positive
